timestamp,event_type,severity,description
2025-11-18 18:50:00,bruteforce_login,high,Fictive event: bruteforce_login detected
2025-11-18 21:06:00,bruteforce_login,high,Fictive event: bruteforce_login detected
2025-11-18 21:42:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-11-18 22:46:00,SNMPv2c_detected,high,Fictive event: SNMPv2c_detected detected
2025-11-19 01:40:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-11-19 02:52:00,SNMPv2c_detected,low,Fictive event: SNMPv2c_detected detected
2025-11-19 03:01:00,bad_community_string,high,Fictive event: bad_community_string detected
2025-11-19 03:22:00,DHCP_rogue,high,Fictive event: DHCP_rogue detected
2025-11-19 03:49:00,ARP_spoofing,high,Fictive event: ARP_spoofing detected
2025-11-19 07:36:00,ARP_spoofing,low,Fictive event: ARP_spoofing detected
2025-11-19 08:18:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-19 12:41:00,bad_community_string,high,Fictive event: bad_community_string detected
2025-11-19 13:49:00,bad_community_string,high,Fictive event: bad_community_string detected
2025-11-19 14:54:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-11-19 19:42:00,SNMPv2c_detected,low,Fictive event: SNMPv2c_detected detected
2025-11-19 20:30:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-11-19 21:07:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-11-19 21:59:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-19 22:28:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-11-20 00:01:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-20 00:43:00,DHCP_rogue,high,Fictive event: DHCP_rogue detected
2025-11-20 00:45:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-11-20 02:21:00,SNMPv2c_detected,high,Fictive event: SNMPv2c_detected detected
2025-11-20 02:23:00,DHCP_rogue,high,Fictive event: DHCP_rogue detected
2025-11-20 04:37:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-11-20 05:20:00,DHCP_rogue,high,Fictive event: DHCP_rogue detected
2025-11-20 05:59:00,bad_community_string,low,Fictive event: bad_community_string detected
2025-11-20 06:18:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-20 07:04:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-11-20 07:28:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-11-20 07:43:00,bad_community_string,high,Fictive event: bad_community_string detected
2025-11-20 07:53:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-11-20 08:32:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-11-20 09:54:00,SNMPv2c_detected,high,Fictive event: SNMPv2c_detected detected
2025-11-20 11:06:00,DHCP_rogue,low,Fictive event: DHCP_rogue detected
2025-11-20 11:08:00,bad_community_string,high,Fictive event: bad_community_string detected
2025-11-20 11:48:00,SNMPv2c_detected,high,Fictive event: SNMPv2c_detected detected
2025-11-20 13:18:00,SNMPv2c_detected,high,Fictive event: SNMPv2c_detected detected
2025-11-20 13:50:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-11-20 14:26:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-11-20 16:03:00,bruteforce_login,low,Fictive event: bruteforce_login detected
2025-11-20 16:49:00,DHCP_rogue,high,Fictive event: DHCP_rogue detected
2025-11-20 17:35:00,SNMPv2c_detected,high,Fictive event: SNMPv2c_detected detected
2025-11-20 17:51:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-11-20 18:42:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-21 00:11:00,bad_community_string,low,Fictive event: bad_community_string detected
2025-11-21 00:24:00,bad_community_string,low,Fictive event: bad_community_string detected
2025-11-21 00:31:00,ARP_spoofing,high,Fictive event: ARP_spoofing detected
2025-11-21 02:02:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-11-21 02:07:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-11-21 03:20:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-21 06:43:00,SNMPv2c_detected,high,Fictive event: SNMPv2c_detected detected
2025-11-21 06:45:00,bruteforce_login,low,Fictive event: bruteforce_login detected
2025-11-21 06:56:00,bruteforce_login,high,Fictive event: bruteforce_login detected
2025-11-21 07:42:00,bad_community_string,low,Fictive event: bad_community_string detected
2025-11-21 09:37:00,ARP_spoofing,low,Fictive event: ARP_spoofing detected
2025-11-21 11:23:00,ARP_spoofing,low,Fictive event: ARP_spoofing detected
2025-11-21 12:12:00,SNMPv2c_detected,high,Fictive event: SNMPv2c_detected detected
2025-11-21 13:57:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-11-21 15:12:00,DHCP_rogue,high,Fictive event: DHCP_rogue detected
2025-11-21 17:36:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-21 20:10:00,bruteforce_login,medium,Fictive event: bruteforce_login detected
2025-11-21 20:58:00,bad_community_string,high,Fictive event: bad_community_string detected
2025-11-21 21:06:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-21 22:31:00,bad_community_string,high,Fictive event: bad_community_string detected
2025-11-21 22:40:00,SNMPv2c_detected,high,Fictive event: SNMPv2c_detected detected
2025-11-22 02:44:00,DHCP_rogue,high,Fictive event: DHCP_rogue detected
2025-11-22 03:26:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-11-22 05:51:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-11-22 06:54:00,SNMPv2c_detected,low,Fictive event: SNMPv2c_detected detected
2025-11-22 07:29:00,ARP_spoofing,low,Fictive event: ARP_spoofing detected
2025-11-22 10:49:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-22 12:08:00,DHCP_rogue,high,Fictive event: DHCP_rogue detected
2025-11-22 13:42:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-11-22 19:29:00,bruteforce_login,medium,Fictive event: bruteforce_login detected
2025-11-22 21:41:00,DHCP_rogue,high,Fictive event: DHCP_rogue detected
2025-11-22 22:35:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-11-22 23:01:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-11-23 00:15:00,SNMPv2c_detected,high,Fictive event: SNMPv2c_detected detected
2025-11-23 00:36:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-11-23 00:56:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-23 01:28:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-11-23 01:46:00,SNMPv2c_detected,high,Fictive event: SNMPv2c_detected detected
2025-11-23 03:26:00,bruteforce_login,low,Fictive event: bruteforce_login detected
2025-11-23 04:24:00,ARP_spoofing,low,Fictive event: ARP_spoofing detected
2025-11-23 07:19:00,ARP_spoofing,low,Fictive event: ARP_spoofing detected
2025-11-23 07:44:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-11-23 08:51:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-11-23 12:16:00,ARP_spoofing,high,Fictive event: ARP_spoofing detected
2025-11-23 12:53:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-11-23 17:56:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-11-23 19:37:00,bad_community_string,low,Fictive event: bad_community_string detected
2025-11-23 22:08:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-23 23:38:00,ARP_spoofing,low,Fictive event: ARP_spoofing detected
2025-11-24 00:46:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-11-24 01:33:00,bad_community_string,high,Fictive event: bad_community_string detected
2025-11-24 01:35:00,ARP_spoofing,high,Fictive event: ARP_spoofing detected
2025-11-24 02:34:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-24 03:22:00,ARP_spoofing,high,Fictive event: ARP_spoofing detected
2025-11-24 04:09:00,ARP_spoofing,high,Fictive event: ARP_spoofing detected
2025-11-24 05:14:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-11-24 05:14:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-24 07:01:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-11-24 09:37:00,bruteforce_login,high,Fictive event: bruteforce_login detected
2025-11-24 09:48:00,ARP_spoofing,high,Fictive event: ARP_spoofing detected
2025-11-24 10:23:00,ARP_spoofing,low,Fictive event: ARP_spoofing detected
2025-11-24 13:25:00,bruteforce_login,medium,Fictive event: bruteforce_login detected
2025-11-24 17:28:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-24 23:05:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-11-25 03:30:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-11-25 04:19:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-25 04:19:00,SNMPv2c_detected,high,Fictive event: SNMPv2c_detected detected
2025-11-25 04:25:00,SNMPv2c_detected,low,Fictive event: SNMPv2c_detected detected
2025-11-25 05:45:00,bad_community_string,low,Fictive event: bad_community_string detected
2025-11-25 06:10:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-25 08:00:00,ARP_spoofing,low,Fictive event: ARP_spoofing detected
2025-11-25 08:36:00,bruteforce_login,high,Fictive event: bruteforce_login detected
2025-11-25 09:21:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-11-25 09:28:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-11-25 12:02:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-11-25 13:37:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-11-25 13:42:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-11-25 16:26:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-11-25 17:12:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-11-25 19:49:00,ARP_spoofing,low,Fictive event: ARP_spoofing detected
2025-11-25 19:55:00,bruteforce_login,high,Fictive event: bruteforce_login detected
2025-11-25 19:58:00,DHCP_rogue,high,Fictive event: DHCP_rogue detected
2025-11-25 21:28:00,bruteforce_login,low,Fictive event: bruteforce_login detected
2025-11-26 01:25:00,bruteforce_login,medium,Fictive event: bruteforce_login detected
2025-11-26 04:35:00,SNMPv2c_detected,high,Fictive event: SNMPv2c_detected detected
2025-11-26 04:47:00,bad_community_string,high,Fictive event: bad_community_string detected
2025-11-26 05:53:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-11-26 06:44:00,bad_community_string,high,Fictive event: bad_community_string detected
2025-11-26 08:10:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-26 08:29:00,SNMPv2c_detected,high,Fictive event: SNMPv2c_detected detected
2025-11-26 08:36:00,DHCP_rogue,high,Fictive event: DHCP_rogue detected
2025-11-26 09:11:00,DHCP_rogue,high,Fictive event: DHCP_rogue detected
2025-11-26 09:20:00,bruteforce_login,high,Fictive event: bruteforce_login detected
2025-11-26 09:33:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-11-26 11:57:00,bruteforce_login,low,Fictive event: bruteforce_login detected
2025-11-26 15:37:00,SNMPv2c_detected,high,Fictive event: SNMPv2c_detected detected
2025-11-26 16:25:00,ARP_spoofing,high,Fictive event: ARP_spoofing detected
2025-11-26 19:05:00,bruteforce_login,high,Fictive event: bruteforce_login detected
2025-11-26 20:55:00,SNMPv2c_detected,high,Fictive event: SNMPv2c_detected detected
2025-11-26 23:52:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-27 00:28:00,bad_community_string,low,Fictive event: bad_community_string detected
2025-11-27 00:35:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-11-27 02:48:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-27 03:48:00,SNMPv2c_detected,high,Fictive event: SNMPv2c_detected detected
2025-11-27 03:52:00,DHCP_rogue,high,Fictive event: DHCP_rogue detected
2025-11-27 05:10:00,ARP_spoofing,high,Fictive event: ARP_spoofing detected
2025-11-27 07:05:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-11-27 08:20:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-11-27 09:58:00,ARP_spoofing,high,Fictive event: ARP_spoofing detected
2025-11-27 11:05:00,bad_community_string,low,Fictive event: bad_community_string detected
2025-11-27 14:01:00,bad_community_string,low,Fictive event: bad_community_string detected
2025-11-27 18:52:00,SNMPv2c_detected,high,Fictive event: SNMPv2c_detected detected
2025-11-27 21:01:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-11-27 22:09:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-11-27 23:17:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-11-27 23:33:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-27 23:41:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-11-27 23:48:00,bad_community_string,low,Fictive event: bad_community_string detected
2025-11-28 00:00:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-28 01:02:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-11-28 01:20:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-28 02:58:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-11-28 08:09:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-28 08:15:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-11-28 08:32:00,bad_community_string,low,Fictive event: bad_community_string detected
2025-11-28 09:29:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-28 11:57:00,ARP_spoofing,low,Fictive event: ARP_spoofing detected
2025-11-28 12:39:00,DHCP_rogue,high,Fictive event: DHCP_rogue detected
2025-11-28 13:35:00,ARP_spoofing,low,Fictive event: ARP_spoofing detected
2025-11-28 14:08:00,bruteforce_login,medium,Fictive event: bruteforce_login detected
2025-11-28 15:32:00,SNMPv2c_detected,high,Fictive event: SNMPv2c_detected detected
2025-11-28 16:39:00,SNMPv2c_detected,low,Fictive event: SNMPv2c_detected detected
2025-11-28 16:42:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-11-28 17:25:00,bad_community_string,high,Fictive event: bad_community_string detected
2025-11-28 17:31:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-11-28 18:19:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-28 18:36:00,ARP_spoofing,high,Fictive event: ARP_spoofing detected
2025-11-28 19:16:00,bruteforce_login,low,Fictive event: bruteforce_login detected
2025-11-28 20:11:00,ARP_spoofing,high,Fictive event: ARP_spoofing detected
2025-11-28 20:15:00,ARP_spoofing,low,Fictive event: ARP_spoofing detected
2025-11-28 21:00:00,ARP_spoofing,high,Fictive event: ARP_spoofing detected
2025-11-29 01:46:00,ARP_spoofing,high,Fictive event: ARP_spoofing detected
2025-11-29 06:40:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-11-29 11:09:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-11-29 11:53:00,bad_community_string,high,Fictive event: bad_community_string detected
2025-11-29 14:14:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-11-29 18:04:00,DHCP_rogue,low,Fictive event: DHCP_rogue detected
2025-11-29 20:05:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-29 21:13:00,ARP_spoofing,low,Fictive event: ARP_spoofing detected
2025-11-30 00:20:00,DHCP_rogue,low,Fictive event: DHCP_rogue detected
2025-11-30 00:34:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-11-30 02:59:00,ARP_spoofing,high,Fictive event: ARP_spoofing detected
2025-11-30 03:54:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-11-30 06:16:00,ARP_spoofing,low,Fictive event: ARP_spoofing detected
2025-11-30 07:48:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-30 08:37:00,ARP_spoofing,low,Fictive event: ARP_spoofing detected
2025-11-30 08:55:00,SNMPv2c_detected,high,Fictive event: SNMPv2c_detected detected
2025-11-30 11:42:00,bruteforce_login,medium,Fictive event: bruteforce_login detected
2025-11-30 12:35:00,bruteforce_login,medium,Fictive event: bruteforce_login detected
2025-11-30 13:15:00,SNMPv2c_detected,high,Fictive event: SNMPv2c_detected detected
2025-11-30 16:16:00,SNMPv2c_detected,high,Fictive event: SNMPv2c_detected detected
2025-11-30 16:37:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-30 17:29:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-11-30 17:31:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-30 17:36:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-11-30 17:47:00,ARP_spoofing,high,Fictive event: ARP_spoofing detected
2025-11-30 19:22:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-11-30 22:21:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-11-30 22:37:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-11-30 23:41:00,ARP_spoofing,low,Fictive event: ARP_spoofing detected
2025-11-30 23:57:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-12-01 01:09:00,bad_community_string,low,Fictive event: bad_community_string detected
2025-12-01 03:12:00,SNMPv2c_detected,low,Fictive event: SNMPv2c_detected detected
2025-12-01 03:55:00,SNMPv2c_detected,low,Fictive event: SNMPv2c_detected detected
2025-12-01 04:02:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-12-01 06:31:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-12-01 06:57:00,ARP_spoofing,high,Fictive event: ARP_spoofing detected
2025-12-01 08:42:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-12-01 09:15:00,bad_community_string,high,Fictive event: bad_community_string detected
2025-12-01 11:27:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-12-01 11:59:00,bad_community_string,low,Fictive event: bad_community_string detected
2025-12-01 12:22:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-12-01 12:38:00,DHCP_rogue,high,Fictive event: DHCP_rogue detected
2025-12-01 13:07:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-12-01 13:16:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-12-01 14:27:00,DHCP_rogue,high,Fictive event: DHCP_rogue detected
2025-12-01 14:59:00,ARP_spoofing,low,Fictive event: ARP_spoofing detected
2025-12-01 15:33:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-12-01 19:15:00,DHCP_rogue,high,Fictive event: DHCP_rogue detected
2025-12-01 19:31:00,DHCP_rogue,low,Fictive event: DHCP_rogue detected
2025-12-01 20:31:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-12-01 21:08:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-12-01 21:10:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-12-01 21:13:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-12-01 21:16:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-12-01 23:32:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-12-02 04:12:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-12-02 04:48:00,SNMPv2c_detected,high,Fictive event: SNMPv2c_detected detected
2025-12-02 04:53:00,ARP_spoofing,high,Fictive event: ARP_spoofing detected
2025-12-02 05:03:00,ARP_spoofing,high,Fictive event: ARP_spoofing detected
2025-12-02 06:10:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-12-02 07:24:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-12-02 10:11:00,bruteforce_login,high,Fictive event: bruteforce_login detected
2025-12-02 13:37:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-12-02 16:11:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-12-02 16:54:00,bad_community_string,high,Fictive event: bad_community_string detected
2025-12-02 19:50:00,ARP_spoofing,low,Fictive event: ARP_spoofing detected
2025-12-02 20:13:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-12-02 21:24:00,bad_community_string,high,Fictive event: bad_community_string detected
2025-12-03 00:22:00,SNMPv2c_detected,low,Fictive event: SNMPv2c_detected detected
2025-12-03 00:33:00,ARP_spoofing,high,Fictive event: ARP_spoofing detected
2025-12-03 01:50:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-12-03 03:29:00,SNMPv2c_detected,high,Fictive event: SNMPv2c_detected detected
2025-12-03 05:24:00,bruteforce_login,medium,Fictive event: bruteforce_login detected
2025-12-03 08:14:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-12-03 10:46:00,SNMPv2c_detected,high,Fictive event: SNMPv2c_detected detected
2025-12-03 10:51:00,bruteforce_login,low,Fictive event: bruteforce_login detected
2025-12-03 11:34:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-12-03 12:12:00,bruteforce_login,high,Fictive event: bruteforce_login detected
2025-12-03 15:17:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-12-03 17:04:00,ARP_spoofing,low,Fictive event: ARP_spoofing detected
2025-12-03 23:58:00,bruteforce_login,high,Fictive event: bruteforce_login detected
2025-12-04 02:09:00,DHCP_rogue,high,Fictive event: DHCP_rogue detected
2025-12-04 03:40:00,bad_community_string,high,Fictive event: bad_community_string detected
2025-12-04 07:56:00,DHCP_rogue,high,Fictive event: DHCP_rogue detected
2025-12-04 08:28:00,ARP_spoofing,high,Fictive event: ARP_spoofing detected
2025-12-04 08:51:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-12-04 10:53:00,bad_community_string,low,Fictive event: bad_community_string detected
2025-12-04 11:50:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-12-04 12:01:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-12-04 12:47:00,DHCP_rogue,high,Fictive event: DHCP_rogue detected
2025-12-04 13:24:00,bruteforce_login,medium,Fictive event: bruteforce_login detected
2025-12-04 13:34:00,bruteforce_login,high,Fictive event: bruteforce_login detected
2025-12-04 14:36:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-12-04 15:08:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-12-04 15:43:00,DHCP_rogue,high,Fictive event: DHCP_rogue detected
2025-12-04 15:59:00,SNMPv2c_detected,low,Fictive event: SNMPv2c_detected detected
2025-12-04 16:35:00,DHCP_rogue,high,Fictive event: DHCP_rogue detected
2025-12-04 17:46:00,ARP_spoofing,high,Fictive event: ARP_spoofing detected
2025-12-04 19:11:00,DHCP_rogue,high,Fictive event: DHCP_rogue detected
2025-12-04 20:19:00,ARP_spoofing,high,Fictive event: ARP_spoofing detected
2025-12-04 21:47:00,ARP_spoofing,high,Fictive event: ARP_spoofing detected
2025-12-05 00:01:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-12-05 02:04:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-12-05 02:52:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-12-05 03:38:00,bad_community_string,low,Fictive event: bad_community_string detected
2025-12-05 03:52:00,ARP_spoofing,medium,Fictive event: ARP_spoofing detected
2025-12-05 04:58:00,DHCP_rogue,high,Fictive event: DHCP_rogue detected
2025-12-05 06:03:00,bad_community_string,high,Fictive event: bad_community_string detected
2025-12-05 10:28:00,bad_community_string,high,Fictive event: bad_community_string detected
2025-12-05 15:56:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-12-05 16:31:00,SNMPv2c_detected,high,Fictive event: SNMPv2c_detected detected
2025-12-05 19:54:00,bruteforce_login,high,Fictive event: bruteforce_login detected
2025-12-05 20:29:00,SNMPv2c_detected,low,Fictive event: SNMPv2c_detected detected
2025-12-06 00:33:00,DHCP_rogue,high,Fictive event: DHCP_rogue detected
2025-12-06 04:53:00,DHCP_rogue,high,Fictive event: DHCP_rogue detected
2025-12-06 04:55:00,SNMPv2c_detected,high,Fictive event: SNMPv2c_detected detected
2025-12-06 05:50:00,ARP_spoofing,low,Fictive event: ARP_spoofing detected
2025-12-06 09:14:00,bad_community_string,medium,Fictive event: bad_community_string detected
2025-12-06 13:15:00,SNMPv2c_detected,medium,Fictive event: SNMPv2c_detected detected
2025-12-06 15:32:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
2025-12-06 15:33:00,ARP_spoofing,high,Fictive event: ARP_spoofing detected
2025-12-06 16:41:00,DHCP_rogue,medium,Fictive event: DHCP_rogue detected
